timestamp,hourly_queue_count,facility_model,facility_name,is_override,no_show_rate,tickets_whatsapp,tickets_web,tickets_sms,tickets_ussd,avg_service_time_desk_1,avg_service_time_desk_2,avg_service_time_desk_3
2026-04-01 00:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 01:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 02:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 03:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 04:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 05:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 06:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 07:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 08:00:00,14,Standard_9to5,District Ministry Office,False,12.96,5,7,1,1,12.3,14.86,21.25
2026-04-01 09:00:00,10,Standard_9to5,District Ministry Office,False,4.74,3,5,0,2,9.95,14.82,20.99
2026-04-01 10:00:00,14,Standard_9to5,District Ministry Office,False,11.26,5,3,4,2,12.17,15.97,23.29
2026-04-01 11:00:00,17,Standard_9to5,District Ministry Office,False,7.8,6,8,2,1,12.58,13.58,24.57
2026-04-01 12:00:00,9,Standard_9to5,District Ministry Office,False,8.33,4,0,1,4,14.11,12.47,22.5
2026-04-01 13:00:00,5,Standard_9to5,District Ministry Office,False,10.14,2,1,2,0,13.21,13.38,23.15
2026-04-01 14:00:00,10,Standard_9to5,District Ministry Office,False,9.49,4,4,2,0,10.65,14.11,18.94
2026-04-01 15:00:00,6,Standard_9to5,District Ministry Office,False,9.37,1,3,1,1,12.55,16.12,21.01
2026-04-01 16:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 17:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 18:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 19:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 20:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 21:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 22:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-01 23:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-02 00:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-02 01:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-02 02:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-02 03:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-02 04:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-02 05:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-02 06:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
2026-04-02 07:00:00,0,Standard_9to5,District Ministry Office,False,0.0,0,0,0,0,0.0,0.0,0.0
